name,unit
National protected areas,NA
Nature reserves,NA
OECM areas,NA
Marine protected areas,NA
Wilderness areas,NA
Managed resource areas,NA
Protected landscapes,NA
Key Biodiversity Areas,NA
Important Bird Areas,NA
UNESCO-MAB Biosphere Reserves,NA
World Heritage Sites,NA
Specially Protected Area,NA
Site of Community Importance,NA
Special Protection Area,NA
RAMSAR Sites,NA
